Designator,Mid X,Mid Y,Rotation,Layer
C1,116.0,-106.5,180.0,top
C2,107.0,-106.5,180.0,top
C3,116.0,-113.5,0.0,top
J1,111.5,-103.0,270.0,top
J2,111.5,-120.0,0.0,top
R1,106.0,-113.7,180.0,top
R2,106.0,-110.1,180.0,top
U1,111.5,-110.250001,270.0,top
